Date,Total_Entrants,Previous_Count,New_Entrants,Dropped_Entrants,Net_Change
2026-01-18T11:06:03.260694,233,0,0,0,0
2026-01-18T13:05:18.790114,233,233,0,0,0
2026-01-19T02:03:02.569959,233,233,0,0,0
2026-01-19T08:30:37.505107,233,233,0,0,0
2026-01-20T08:29:44.611041,233,233,0,0,0
2026-01-21T08:29:28.359690,233,233,0,0,0
2026-01-22T08:30:05.092174,233,233,0,0,0
2026-01-23T08:28:12.470727,233,233,0,0,0
2026-01-24T08:24:41.647410,233,233,0,0,0
2026-01-25T08:25:38.341564,233,233,0,0,0
2026-01-26T08:30:18.952884,238,233,5,0,5
2026-01-27T08:31:18.506412,240,238,2,0,2
2026-01-28T08:29:56.338659,241,240,1,0,1
2026-01-29T08:36:55.189913,241,241,0,0,0
